X,Y,OBJECTID,ID,NAME_1,NAME_2,ADDRESS,CITY,ZIPCODE,STATE,EMPLOYMENT,YEARBUILT,SQUAREFEET,SOURCE,DATEREVISE,COMMENTS
-82.977972025166196,42.383053938155797,1,1,Chrysler,Mack Avenue Engine Complex I,4000 St Jean Avenue,Detroit,48214,MI,619,1974,1400000,"http://www.media.chrysler.com/factsheets.do;jsessionid=C5FB0162CAB1D86D0B602EF426DE4631?&mid=105",2015-04-23T00:00:00.000Z,
-82.966655430102534,42.373002779612946,2,2,Chrysler,Jefferson North Assembly Plant,2101 Conner Street,Detroit,48215,MI,4623,1991,3000000,"http://www.media.chrysler.com/factsheets.do;jsessionid=C5FB0162CAB1D86D0B602EF426DE4631?&mid=105",2015-04-23T00:00:00.000Z,
-83.23239523621551,42.655346322946585,3,3,Chrysler,Headquarters and Technology Center,1000 Chrysler Drive,Auburn Hills,48326,MI,14000,1996,5400000,http://www.media.chrysler.com/newsrelease.do?id=7054&mid=175,2015-04-23T00:00:00.000Z,
-82.979682307872679,42.385623962615483,4,4,Chrysler,Mack Avenue Engine Complex II,4500 St Jean Avenue,Detroit,48214,MI,0,1999,650000,"http://www.media.chrysler.com/factsheets.do;jsessionid=C5FB0162CAB1D86D0B602EF426DE4631?&mid=105",2015-04-23T00:00:00.000Z,Plant was idled in September 2012.
-83.040926012379586,42.443359296750842,5,5,Chrysler,Mt Elliott Tool & Die,3675 East Outer Drive,Detroit,48234,MI,177,1938,725000,"http://www.media.chrysler.com/factsheets.do;jsessionid=C5FB0162CAB1D86D0B602EF426DE4631?&mid=105",2015-04-23T00:00:00.000Z,
-83.034227802616968,42.573505887673058,6,6,Chrysler,Sterling Heights Assembly Plant,38111 Van Dyke,Sterling Heights,48312,MI,3311,1953,5000000,"http://www.media.chrysler.com/factsheets.do;jsessionid=C5FB0162CAB1D86D0B602EF426DE4631?&mid=105",2015-04-23T00:00:00.000Z,
-83.033123801878872,42.556238061449818,7,7,Chrysler,Sterling Stamping Plant,35777 Van Dyke,Sterling Heights,48312,MI,2292,1965,2740000,"http://www.media.chrysler.com/factsheets.do;jsessionid=C5FB0162CAB1D86D0B602EF426DE4631?&mid=105",2015-04-23T00:00:00.000Z,
-83.190532450401548,42.129839407556709,8,8,Chrysler,Trenton North Engine Plant,2000 Van Horn Road,Trenton,48183,MI,1438,1952,2100000,"http://www.media.chrysler.com/factsheets.do;jsessionid=C5FB0162CAB1D86D0B602EF426DE4631?&mid=105",2015-04-23T00:00:00.000Z,Employees are shared with the Trenton South Engine Plant
-83.193078453783144,42.128711934749674,9,9,Chrysler,Trenton South Engine Plant,2300 Van Horn Road,Trenton,48183,MI,0,2007,822000,"http://www.media.chrysler.com/factsheets.do;jsessionid=C5FB0162CAB1D86D0B602EF426DE4631?&mid=105",2015-04-23T00:00:00.000Z,Employees are recorded with the Trenton North Engine Plant
-83.041640513491942,42.460471760118892,10,10,Chrysler,Warren Stamping Plant,22800 Mound Road,Warren,48091,MI,2013,1949,2100000,"http://www.media.chrysler.com/factsheets.do;jsessionid=C5FB0162CAB1D86D0B602EF426DE4631?&mid=105",2015-04-23T00:00:00.000Z,
-83.040567827126338,42.45562997220118,11,11,Chrysler,Warren Truck Assembly Plant,21500 Mound Road,Warren,48091,MI,4054,1938,3310000,"http://www.media.chrysler.com/factsheets.do;jsessionid=C5FB0162CAB1D86D0B602EF426DE4631?&mid=105",2015-04-23T00:00:00.000Z,
-83.017330245085972,42.442879324296193,12,13,Chrysler,Conner Avenue Assembly Plant,20000 Conner Avenue,Detroit,48234,MI,105,1966,392000,"http://www.media.chrysler.com/factsheets.do;jsessionid=C5FB0162CAB1D86D0B602EF426DE4631?&mid=105",2015-04-23T00:00:00.000Z,
-83.661400757707582,41.979923642442117,13,14,Chrysler,Dundee Engine Plant,5800 North Ann Arbor Road,Dundee,48131,MI,709,2003,1300000,"http://www.media.chrysler.com/factsheets.do;jsessionid=C5FB0162CAB1D86D0B602EF426DE4631?&mid=105",2015-04-23T00:00:00.000Z,
-84.037710578220441,42.26982487109008,14,15,Chrysler,Proving Ground,3700 S Mi State Road 52,Chelsea,48118,MI,665,1954,16552800,http://www.chryslertestservices.com/services/chelsea-proving-grounds-cpg.html,2015-04-23T00:00:00.000Z,Emplyment estimated by SEMCOG.
-83.034710393757265,42.597576192821016,15,16,Ford,Van Dyke Transmission Plant,41111 Van Dyke Avenue,Sterling Heights,48314,MI,1565,1968,1980473,http://origin-corporate.ford.com/our-company/operations-worldwide/global-operations-list,2015-04-23T00:00:00.000Z,
-83.165286851630157,42.313141780871888,16,17,Ford,Dearborn Truck Plant,3001 Miller Road,Dearborn,48120,MI,4413,2004,2600000,http://origin-corporate.ford.com/our-company/operations-worldwide/global-operations-list,2015-04-23T00:00:00.000Z,
-83.236361132904889,42.144980423187832,17,18,Ford,Woodhaven Stamping Plant,20900 West Road,Woodhaven,48183,MI,501,1964,2673000,http://origin-corporate.ford.com/our-company/operations-worldwide/global-operations-list,2015-04-23T00:00:00.000Z,
-83.408872655937827,42.276325707234747,18,19,Ford,Michigan Assembly Plant,37625 Michigan Avenue,Wayne,48184,MI,4767,1957,5000000,http://origin-corporate.ford.com/our-company/operations-worldwide/global-operations-list,2015-04-23T00:00:00.000Z,
-83.165601304200422,42.305688584649168,19,20,Ford,Dearborn Stamping Plant,3001 Miller Road,Dearborn,48120,MI,1171,1939,2700000,http://origin-corporate.ford.com/our-company/operations-worldwide/global-operations-list,2015-04-23T00:00:00.000Z,
-83.169761520858799,42.304251678385896,20,21,Ford,Dearborn Engine and Fuel Tank,3001 Miller Road,Dearborn,48120,MI,480,1941,2327000,http://origin-corporate.ford.com/our-company/operations-worldwide/global-operations-list,2015-04-23T00:00:00.000Z,
-83.555574293572249,42.198919601475467,21,22,Ford,Rawsonville Plant,Textile and McKean Road,Ypsilanti,48198,MI,733,1956,1700000,http://origin-corporate.ford.com/our-company/operations-worldwide/global-operations-list,2015-04-23T00:00:00.000Z,
-82.995341073355519,42.805876643929928,22,23,Ford,Romeo Engine Plant,701 East Saint Clair Street,Romeo,48065,MI,495,1973,2043778,http://origin-corporate.ford.com/our-company/operations-worldwide/global-operations-list,2015-04-23T00:00:00.000Z,
-83.395260977612679,42.370654847107055,23,24,Ford,Livonia Transmission Plant,36200 Plymouth Road,Livonia,48150,MI,863,1952,3300000,http://origin-corporate.ford.com/our-company/operations-worldwide/global-operations-list,2015-04-23T00:00:00.000Z,
-83.078574627820899,42.838929539727147,24,26,Ford,Michigan Proving Ground,74240 Fisher Road,Romeo,48065,MI,200,1987,169012800,http://en.wikipedia.org/wiki/Ford_Proving_Grounds#Michigan_Proving_Ground_.28MPG.29_-_Romeo.2C_Michigan,2015-04-23T00:00:00.000Z,Employment and building square footage estimated by SEMCOG.
-83.047232921394325,42.584251385495058,25,27,Ford,Sterling Axle Plant,39000 Mound Rd,Sterling Heights,48314,MI,1931,1956,3000000,http://origin-corporate.ford.com/our-company/operations-worldwide/global-operations-list,2015-04-23T00:00:00.000Z,
-83.2087178884194,42.316738549244789,26,28,Ford,World Headquarters,1 American Road,Dearborn,48126,MI,3200,1956,950000,http://en.wikipedia.org/wiki/Ford_World_Headquarters,2015-04-23T00:00:00.000Z,"Employment estimated by SEMCOG; figure includes both HQ and Ford Motor Credit."
-83.168443357265389,42.301132765445914,27,29,Ford,Dearborn Tool and Die,3001 Miller Road,Dearborn,48120,MI,254,1939,440000,http://origin-corporate.ford.com/our-company/operations-worldwide/global-operations-list,2015-04-23T00:00:00.000Z,
